'BPP    45'
27
1367814434311377
274884374398721      1
264600651501467      1
258731141537366      1
254635954282597      1
242155468908822      1
242128468553471      1
239655000341958      1
232592181284553      1
232067924106727      1
218644220614643      1
180933023337355      1
158751036599280      1
156493074518919      1
141541685483683      1
140556123411558      1
137863258604806      1
137746117289530      1
109189180667508      1
88132179442076      1
66419317778749      1
62399697185031      1
57669703934578      1
54762816719022      1
53598890256928      1
48203549088677      1
30521068829401      1
18564151635008      1

